epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.949,2.66962,3.66865,2.09941,0.50576,0.02982,0.00269,0.00077,2.44983,4.93559,2.00327,0.000415249,0.000415249,0.000415249
2,523.151,2.56887,2.56609,1.98805,0.00383,0.02523,0.00302,0.00084,2.33046,5.22865,1.96191,0.000790736,0.000790736,0.000790736
3,762.474,2.56572,2.45958,2.07176,0.01308,0.02752,0.00788,0.00224,2.36838,5.37688,2.03798,0.00112497,0.00112497,0.00112497
4,1003.69,2.53556,2.43173,1.99204,0.01215,0.04358,0.00667,0.00204,2.37074,5.41558,2.02123,0.00106437,0.00106437,0.00106437
5,1251.26,2.51123,2.33997,1.98632,0.01377,0.06881,0.00856,0.00214,2.30603,5.61595,1.89789,0.0010025,0.0010025,0.0010025
6,1485.49,2.50597,2.32407,1.94269,0.0085,0.07569,0.00584,0.00169,2.34481,5.48714,1.9785,0.000940625,0.000940625,0.000940625
7,1722.51,2.48508,2.30782,1.92453,0.01019,0.05046,0.00692,0.00242,2.336,5.74544,1.91061,0.00087875,0.00087875,0.00087875
8,1965.25,2.47051,2.29057,1.90767,0.01718,0.05505,0.00913,0.00264,2.31772,5.57393,1.95013,0.000816875,0.000816875,0.000816875
9,2204.61,2.45294,2.27291,1.91802,0.01544,0.0367,0.00976,0.00272,2.30027,5.63504,1.92205,0.000755,0.000755,0.000755
10,2449.85,2.46992,2.21344,1.9213,0.01574,0.04817,0.01231,0.00376,2.36463,5.79576,2.04676,0.000693125,0.000693125,0.000693125
11,2684.31,2.43625,2.26587,1.90776,0.0222,0.04358,0.01084,0.00315,2.32916,5.82931,1.96791,0.00063125,0.00063125,0.00063125
12,2920.63,2.435,2.2132,1.88745,0.01556,0.06651,0.0115,0.00334,2.29503,5.70448,1.92163,0.000569375,0.000569375,0.000569375
13,3158.1,2.4272,2.19027,1.91672,0.01606,0.06651,0.01151,0.00321,2.28956,5.82031,1.89842,0.0005075,0.0005075,0.0005075
14,3406.97,2.42593,2.15991,1.86943,0.0186,0.04587,0.01058,0.00281,2.29995,5.92108,1.83778,0.000445625,0.000445625,0.000445625
15,3638.43,2.41378,2.13,1.87839,0.01639,0.08716,0.01434,0.00416,2.27861,5.81949,1.93174,0.00038375,0.00038375,0.00038375
16,3869.87,2.41308,2.16303,1.86511,0.02303,0.05963,0.01467,0.00364,2.2811,5.92317,1.86397,0.000321875,0.000321875,0.000321875
17,4103.43,2.39622,2.12333,1.86398,0.01963,0.08209,0.01338,0.00365,2.28305,5.84569,1.85308,0.00026,0.00026,0.00026
18,4333.03,2.38965,2.13106,1.85077,0.02347,0.06344,0.02109,0.00516,2.28391,5.89804,1.91902,0.000198125,0.000198125,0.000198125
19,4566.78,2.38507,2.09587,1.85151,0.02301,0.05734,0.01519,0.00397,2.26817,5.83782,1.89659,0.00013625,0.00013625,0.00013625
20,4798.24,2.37474,2.0621,1.83101,0.02481,0.06422,0.01883,0.00538,2.26658,5.8279,1.87775,7.4375e-05,7.4375e-05,7.4375e-05
